'fnando', 'Ruby', 'JavaScript', 'PHP'
'nex3', 'Ruby', 'JavaScript', 'Emacs'
'bastianallgeier', 'PHP', 'JavaScript', 'CSS'
'cwilso', 'JavaScript', 'Shell', 'Python'
'spastorino', 'Ruby', 'JavaScript', 'Shell'
'jchris', 'JavaScript', 'Ruby', 'Python'
'kr', 'Go', 'Shell', 'Ruby'
'memo', 'C++', 'C', 'Shell'
'arco', 'C', 'C++', 'Shell'
'tnm', 'C', 'Python', 'Ruby'
'alexyoung', 'JavaScript', 'Ruby', 'Shell'
'toastdriven', 'Python', 'Shell', 'JavaScript'
'caolan', 'JavaScript', 'Shell', 'Ruby'
'juanplopes', 'C#', 'Python', 'Shell'
'rs', 'Objective-C', 'JavaScript', 'Python'
'technicalpickles', 'Ruby', 'JavaScript', 'CoffeeScript'
'tmm1', 'Ruby', 'C', 'JavaScript'
'lorenzo', 'PHP', 'JavaScript', 'Shell'
'masuidrive', 'Ruby', 'JavaScript', 'C'
'DataTables', 'JavaScript', 'PHP', 'Shell'
'WardCunningham', 'Ruby', 'JavaScript', 'Shell'
'karmi', 'Ruby', 'JavaScript', 'Shell'
'kazuho', 'Perl', 'C', 'C++'
'dscape', 'JavaScript', 'Shell', 'Ruby'
'commonsguy', 'Java', 'Perl', 'Shell'
'ioerror', 'Shell', 'C', 'Python'
'phoboslab', 'JavaScript', 'Objective-C', 'C'
'harthur', 'JavaScript', 'C', 'Python'
'frsyuki', 'Ruby', 'C++', 'C'
'puffnfresh', 'JavaScript', 'Shell', 'Scala'
'jbarnette', 'Ruby', 'Shell', 'JavaScript'
'funkatron', 'JavaScript', 'PHP', 'Python'
'tomdale', 'JavaScript', 'Ruby', 'CoffeeScript'
'Haacked', 'C#', 'JavaScript', 'Shell'
'schwa', 'Objective-C', 'Python', 'C'
'altercation', 'Shell', 'Perl', 'Python'
'nst', 'Objective-C', 'Python', 'C'
'jeremy', 'Ruby', 'JavaScript', 'C'
'indragiek', 'Objective-C', 'Ruby', 'Shell'
'xaviershay', 'Ruby', 'JavaScript', 'Shell'
'qrush', 'Ruby', 'JavaScript', 'Shell'
'elvisimprsntr', 'Ruby', 'Shell'
'ralphschindler', 'PHP', 'Shell', 'JavaScript'
'nathanmarz', 'Clojure', 'Java', 'Shell'
'padolsey', 'JavaScript', 'PHP', 'Ruby'
'kriszyp', 'JavaScript', 'Shell', 'PHP'
'piscisaureus', 'JavaScript', 'C', 'Shell'
'idan', 'Python', 'JavaScript', 'Ruby'
'maccman', 'Ruby', 'JavaScript', 'CoffeeScript'
'falconindy', 'C', 'Shell', 'Perl'
'ptarjan', 'Python', 'PHP', 'JavaScript'
'nostra13', 'Java'
'gilesbowkett', 'Ruby', 'JavaScript', 'Shell'
'sickill', 'Ruby', 'Shell', 'JavaScript'
'fredwu', 'Ruby', 'JavaScript', 'CoffeeScript'
'nvie', 'Python', 'Shell', 'VimL'
'davies', 'C', 'Python', 'Shell'
'videlalvaro', 'Shell', 'Erlang', 'PHP'
'astro', 'JavaScript', 'Ruby', 'Shell'
'nateabele', 'PHP', 'JavaScript', 'Shell'
'imakewebthings', 'JavaScript', 'CSS', 'Ruby'
'angus-c', 'JavaScript', 'CoffeeScript', 'Ruby'
'ericbarnes', 'PHP', 'JavaScript', 'Shell'
'huacnlee', 'Ruby', 'JavaScript', 'Shell'
'yaoweibin', 'C', 'Shell', 'Perl'
'getify', 'JavaScript', 'PHP', 'C'
'jed', 'JavaScript', 'CoffeeScript', 'Shell'
'yyx990803', 'JavaScript', 'Shell', 'CSS'
'rogerwang', 'Python', 'C++', 'C'
'ripienaar', 'Ruby', 'Puppet', 'Shell'
'rmurphey', 'JavaScript', 'Ruby', 'Shell'
'jamtur01', 'Ruby', 'Puppet', 'Shell'
'ofZach', 'C++', 'C', 'Objective-C'
'stuartsierra', 'Clojure', 'Shell', 'Java'
'n8han', 'Scala', 'JavaScript', 'Java'
'bnoguchi', 'JavaScript', 'Ruby', 'C'
'assaf', 'Ruby', 'JavaScript', 'CoffeeScript'
'benschwarz', 'Ruby', 'JavaScript', 'Shell'
'nicklockwood', 'Objective-C', 'Ruby', 'C'
'fzaninotto', 'PHP', 'JavaScript', 'Shell'
'jonrohan', 'C', 'JavaScript', 'Python'
'dhh', 'Ruby', 'JavaScript', 'Shell'
'simurai', 'JavaScript', 'Shell', 'CSS'
'Quarx2k', 'C', 'Shell', 'C++'
'mattetti', 'Ruby', 'JavaScript', 'Objective-C'
'bfirsh', 'Python', 'Shell', 'JavaScript'
'alteredq', 'JavaScript', 'Shell', 'Python'
'migueldeicaza', 'C#', 'ASP', 'C'
'trek', 'JavaScript', 'Ruby', 'CSS'
'DamianEdwards', 'JavaScript', 'C#', 'ASP'
'atmos', 'Ruby', 'JavaScript', 'Shell'
'moxie0', 'Python', 'Shell', 'JavaScript'
'glassesfactory', 'Python', 'JavaScript', 'CoffeeScript'
'sishen', 'Ruby', 'JavaScript', 'C'
'jacobian', 'Python', 'Shell', 'JavaScript'
'kgn', 'Objective-C', 'C', 'Python'
'arunagw', 'Ruby', 'JavaScript', 'Shell'
'EvanDotPro', 'PHP', 'JavaScript', 'VimL'
'myell0w', 'Objective-C', 'Ruby', 'C'
'Caged', 'JavaScript', 'Ruby', 'Objective-C'
'rpetrich', 'Objective-C', 'C', 'Shell'
'brianleroux', 'JavaScript', 'Shell', 'Ruby'
